"filename", "language", "C#", "XML", "JSON", "Markdown", "Properties", "Database", "comment", "blank", "total"
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Licenseplate/LicenseplateDAL.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/ILotDAL.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/ILotInfoDAL.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/LotDAL.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/LotInfoDAL.cs", "C#", 9, 0, 0, 0, 0, 0, 7, 3, 19
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/ITicketDAL.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/LatestID.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/TicketDAL.cs", "C#", 125, 0, 0, 0, 0, 0, 1, 2, 128
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/ParkingDB.db", "Database", 0, 0, 0, 0, 0, 48, 0, 1, 49
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/ParkingProject.csproj", "XML", 0, 15, 0, 0, 0, 0, 1, 0, 16
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/Program.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/README.md", "Markdown", 0, 0, 0, 25, 0, 0, 0, 19, 44
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/Services.cs", "C#", 115, 0, 0, 0, 0, 0, 2, 9, 126
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/ScreenFormatting/Clear.cs", "C#", 21, 0, 0, 0, 0, 0, 3, 2, 26
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/ScreenFormatting/ScreenType.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/Screens/CarwashSelectScreen.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/Screens/EndParkingScreen.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/Screens/LicensePlateScreen.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/Screens/LotInfoScreen.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/Screens/MainScreen.cs", "C#", 62, 0, 0, 0, 0, 0, 3, 0, 65
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/Screens/VehicleSelectScreen.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/bin/Debug/net7.0/ParkingProject.deps.json", "JSON", 0, 0, 379, 0, 0, 0, 0, 0, 379
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/bin/Debug/net7.0/ParkingProject.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/ParkingProject.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 0, 9, 5, 23
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/ParkingProject.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/ParkingProject.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 0, 0, 1, 1, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/ParkingProject.csproj.nuget.dgspec.json", "JSON", 0, 0, 84, 0, 0, 0, 0, 0, 84
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/ParkingProject.csproj.nuget.g.props", "XML", 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/ParkingProject.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/project.assets.json", "JSON", 0, 0, 748, 0, 0, 0, 0, 0, 748
"Total", "-", 1502, 61, 1221, 25, 11, 48, 52, 184, 3104
