"filename", "language", "Database", "JSON", "C#", "XML", "Properties", "comment", "blank", "total"
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Licenseplate/LicenseplateDAL.cs", "C#", 0, 0, 21, 0, 0, 0, 1, 22
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/ILotDAL.cs", "C#", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/ILotInfoDAL.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/LotDAL.cs", "C#", 0, 0, 61, 0, 0, 0, 6, 67
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/LotInfoDAL.cs", "C#", 0, 0, 9, 0, 0, 7, 3, 19
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/ITicketDAL.cs", "C#", 0, 0, 17, 0, 0, 0, 3, 20
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/TicketDAL.cs", "C#", 0, 0, 91, 0, 0, 1, 2, 94
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/ParkingDB.db", "Database", 46, 0, 0, 0, 0, 0, 0, 46
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/ParkingProject.csproj", "XML", 0, 0, 0, 15, 0, 1, 0, 16
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/Program.cs", "C#", 0, 0, 6, 0, 0, 1, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/Services.cs", "C#", 0, 0, 115, 0, 0, 2, 9, 126
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/CarwashOptionSelectScreen.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/CarwashSelectScreen.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 11
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/LicensePlateScreen.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/LotInfoScreen.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/MainScreen.cs", "C#", 0, 0, 36, 0, 0, 3, 0, 39
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/UI/VehicleSelectScreen.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/bin/Debug/net7.0/ParkingProject.deps.json", "JSON", 0, 379, 0, 0, 0, 0, 0, 379
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/bin/Debug/net7.0/ParkingProject.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/ParkingProject.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 9, 5, 23
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/ParkingProject.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/Debug/net7.0/ParkingProject.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/ParkingProject.csproj.nuget.dgspec.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 84
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/ParkingProject.csproj.nuget.g.props", "XML", 0, 0, 0, 15, 0, 0, 0, 15
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/ParkingProject.csproj.nuget.g.targets", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/obj/project.assets.json", "JSON", 0, 748, 0, 0, 0, 0, 0, 748
"Total", "-", 46, 1221, 1028, 68, 11, 47, 143, 2564
